7.142909833397333: nyx
8.919860627177702: bean
3.364060676779463: rend
4.918153846153846: 147
 6.0: 100gram
 5.0: mgp
29.57968476357268: nee
21.995495495495497: cara
4.600000000000001: textures
23.047516529182964: ladies
3.8000000000000007: teraskin
37.537947225467036: 105
4.03846153846154: hwa81
3.5789473684210513: zfl
 3.5: cfa68
4.059405940594058: effector
3.2857142857142847: acn90
4.310344827586206: astringent
3.833333333333332: eml
2.9411764705882355: wanderlust
10.473584905660378: rachel
 4.0: ajeng
4.416666666666668: dr.pure
 4.0: eadiance
 7.0: xixiliquid
 4.0: sunuv
 4.0: sun3
5.1940298507462686: lamp
34.820866659498265: hard
2.8000000000000007: manicure
 3.0: mattefit
4.777777777777779: minerallight
15.43984962406015: rare
16.670680756942737: gas
 3.0: 1092
 3.0: mkp101812
34.392265193370164: 0325
4.75: tna17
6.722222222222221: okm
17.4: 1188
3.3181818181818166: glutacol
 3.0: xz64
 4.0: qhc14
3.8000000000000007: fdz
3.8307692307692314: nar16
9.103250478011471: angle
4.25: 250.000
20.02944706729615: semua
10.899999999999999: berbentuk
4.642857142857142: coordinating
34.29208186006643: book
14.612403100775193: lemonade
4.428571428571427: cover&bright
 3.0: akhi
35.8235294117647: bln
5.342857142857142: rejuvenating
5.937399935959014: kb
4.666666666666668: shadding
 1.0: no.102
3.029411764705884: 23g
 2.0: initiale
3.533333333333335: rochelle
5.764705882352942: regen
4.800884955752213: b02
3.8888888888888893: spf30pa
3.9264705882352935: gudetama
9.184443134944019: lazy
24.3526226308167: joy
 3.0: fil
33.24222401289283: available
4.368932038834952: reflecting
5.166666666666668: cram
4.666666666666668: applicator
1.3999999999999986: n7
2.7739115817784494: amber
 3.0: goordani
28.67770721559181: sudah
29.629076955872947: termasuk
4.25: cosmetikmurah
 4.0: negar
6.199999999999999: makup
28.25063312872902: jakarta
3.8656919415164914: charlotte
3.764705882352942: tilbury
10.35080451351537: per
19.331090013219566: buah
3.6187845303867405: kohl
 4.0: kajal
 5.0: minimising
5.532742155525238: yves
5.9327917282127025: saint
22.701463414634148: lauren
4.875: rire
10.073543998866374: luxe
38.209108861000836: 3g
2.8999999999999986: 2ea
5.208154506437769: must
5.65518283469326: have
22.09430819596807: aplikasi
7.7412398921832875: digunakan
 3.0: bluson
5.787234042553191: 118ml
 7.0: in2it
4.666666666666668: snowbright
5.6466916354556815: mn
11.082984940436052: now
21.240200760222297: bulat
 4.0: neoderma
 4.5: rebalancing
4.181818181818183: matifying
13.962753248453508: combination
4.277777777777779: galactomyces
 4.0: yankeeshopping
 3.0: nicholas
 3.0: kirkwood
4.576791808873722: c21
4.244444444444444: kusam
4.254545454545454: dr.jart
 1.0: similar
5.871134020618555: watery
24.23418171442941: tangan
4.073170731707318: 60g
21.22029934518241: skull
19.4: 75rb
 4.0: caseisi
5.280000000000001: jewelry
8.209302325581394: 7gr
13.256410256410257: marriage
4.21590909090909: blending
 3.0: terjung
20.74337303111794: payung
 6.0: mucin
3.319148936170212: roromendut
 4.0: lv.4
4.361111111111111: arni
 6.0: terdapat
 9.0: masing2
3.9523809523809526: aigner
 2.0: pb32
8.700581139385402: apricot
 2.0: valege
4.613333333333333: auractivator
 5.5: 3pc
 5.0: berkhasiat
7.774336283185839: unbox
 3.0: c21&c22
5.125: shop99
14.177888611803823: dove
3.6875: eglips
11.459119496855347: feeling
18.45062352544658: mickey
23.13329947949727: mouse
4.106382978723403: v203
 4.0: spd
 2.0: tomi
28.18681593595597: store
35.14702911455566: serba
22.579429073407848: ada
5.544453852667232: melia
5.562817011314866: do
 3.0: sunkissed
3.25: bronzed
 3.0: bloting
8.635413464494313: bonnie
 5.0: tasking
35.93996495706554: card
26.24390243902439: 24jam
7.91076923076923: lamour
9.62424778761062: bumil
23.42857142857143: 570
4.666666666666668: nothern
24.536678389221855: 2l
3.855629139072846: cove
 1.0: spanduk
3.833333333333332: brosur
5.083333333333332: nectar
 5.0: pasific
 3.5: hiderm
2.7272727272727266: flek2
 3.0: bermasalah
3.75: argireline
5.199999999999999: biba.shop
 3.0: 824b
5.235294117647058: dov
32.09815950920245: eee
4.125: powdee
19.305362921867776: king
4.666666666666668: dermatology
 4.0: guze
5.266666666666666: gluco
4.02: g9
11.982698961937718: lipcream
21.535618224626745: gaya
4.440000000000001: timetreasure
4.733333333333334: renovating
8.513999962541906: berry
5.087653860499813: 68
15.291601866251945: 69
28.914850352672048: 70
11.076728499156829: 72
3.6967479674796735: 74
15.200564971751412: 76
27.568847209515095: 77
18.033391915641474: 81
6.963440860215055: 82
17.36386768447837: 84
34.49088562671399: 85
18.854313099041534: 86
7.929032258064517: 87
 5.0: 30p9
4.170731707317074: pallette
3.2403314917127055: ref
4.741573033707866: khanza
3.735294117647058: murahmurah
24.030460104834013: belle
5.2941176470588225: pnf
 3.0: rl005
3.25: pondation
14.153846153846153: 200.000
4.169230769230769: larva
10.696601628117328: fruit
21.311352695948592: leaf
23.210526315789473: riseller
4.518518518518519: melasma
 4.0: naturgoo
3.333333333333332: opaline
8.096774193548388: moisturize
14.661875427789186: roll
 2.0: kos168
 3.0: kos141
 3.5: su:m37
5.199999999999999: rising
25.60821917808219: puasa
7.363636363636363: papaya
3.4761904761904745: energizing
4.432432432432432: florin
 3.0: lumonious
 3.0: twcl
4.48006932409012: clearly
 3.0: marck
 5.0: cream100
4.597269624573379: including
4.405405405405407: 50pcs
4.114754098360656: tetesan
7.700984102952308: pale
4.857410881801126: gatsby
3.444444444444443: powdered
4.122780454232622: paper
2.94736842105263: galifornia
 3.0: affnitone
 6.0: kos1222
 3.0: kos1280
13.07643312101911: promooo
5.638694638694638: watermelon
4.652173913043477: revitalising
 5.5: bhumi
11.38095238095238: adoring
18.307692307692307: mempesona
7.800000000000001: 25pcs
1.75: 0.6
5.440000000000001: beuty
3.333333333333332: 32pa
3.833333333333332: moish
5.046875: instaglow
5.120925838450638: defect
5.293791574279378: bg
 3.0: lips1233
 3.0: foundation+bedak
 3.5: chushion
1.23076923076923: fondie
3.0487804878048763: alive
14.351386822994138: lemon
9.211111111111112: 8ml
4.592592592592592: atasi
5.277707006369425: mencegah
 4.0: timbulnya
7.600000000000001: sejuk
3.6000000000000014: equisite
 5.0: cyberwhite
19.333333333333336: sejenis
 6.5: darkcircle
5.142857142857142: shimer
4.125: dipilih
3.9107142857142847: no.23
29.015463917525775: lapak
17.4: puspa
 3.0: indahsonia1992
 3.0: 3425
7.25: mouve
 5.0: pour
25.909190371991247: ummi
4.375: pipik
5.764705882352942: qr0769
21.016129032258064: rusak
23.506616257088847: cepetan
 4.0: thailland
4.410256410256409: lumpur
 4.5: u002fbioaqua
4.600000000000001: trans
2.4864864864864877: foudation
16.927129060579453: 140
5.666666666666668: qr0554
7.568429992720212: more
3.8395904436860064: mengurangi
17.04204909284952: kerutan
3.7142857142857153: spf47
 3.0: acelora
16.736842105263158: barokah
5.350000000000001: picky
4.595099183197199: ageing
4.0978411292554675: kalimantan
3.9339181286549696: ijo
4.375986606075102: use
 8.5: gnomie
21.334585673787267: wrap
8.138133725202056: sc
4.758462946020128: 1ea
4.25: natural99
5.784313725490197: proteksi
 4.0: pengusir
 4.5: membandel
4.25: pt.nasa
3.916666666666668: toleriane
3.8000000000000007: softening
2.875: sivanna
5.29020771513353: murahhhh
 3.0: tabur+arbutin
4.966613672496024: murahhhhh
 8.0: qr0402
 2.0: muschle
 4.0: goldbeauty
4.1891891891891895: secreat
4.955968169761274: rossa
5.5882352941176485: stylenanda
4.338709677419356: nacific
4.896551724137932: zsc
12.454545454545453: or201
 3.0: matte+spons
 4.5: dermeva
4.457886676875958: ran
7.9152119700748145: multitasking
4.300000000000001: pinkis
7.913359650945356: 001
 7.0: reddish
5.600000000000001: junk
11.8: titipan
 2.5: memperlancar
 5.0: nevea
3.666666666666668: amj
 5.0: 1+1
3.825327510917031: pooh
3.8949416342412455: faces
 4.5: ultraguard
3.375: 3oz
1.1428571428571423: utra
14.977843825992975: populer
15.530848915238778: ya
5.625: mirrors
4.5037821482602105: tercepat
4.327810650887574: beras
 9.0: transfomer
 5.0: qr0935
 5.0: qr0409
6.800000000000001: qr0019
4.4375: berbpom
3.25: toffee
 1.0: fs38
35.36930420644516: tv
7.848109836373894: paint
2.514285714285716: kryolan
 1.0: kecantiakn
 1.0: smf
 1.0: nol
 4.0: scandaleyes
3.6739130434782616: ffc
 1.0: sepctrum
5.693357836702546: ff
4.184210526315791: blurring
4.541666666666668: vege
 1.0: bt1041
4.838709677419356: gluconolactone
14.596850787303174: respon
 3.0: s0222
 3.0: mq52
 3.0: xr26
3.6296296296296298: 781
19.4834587782251: kerut
3.022222222222222: 14gram
 5.0: hayyana
19.87878787878788: cocoon
4.059999999999999: hyaluronic
4.542755344418051: shrink
 4.0: wrinkl
3.1999999999999993: saturday
 1.0: aglow
 5.0: sk128
 1.0: yvk1409
 1.0: backpak
8.153709620163294: durable
 1.0: polofelix
 0.0: lvl2049
 0.0: lvl2105
4.313953488372093: thefaceshop
4.25: qr0893
5.061224489795919: fhoto
3.1499999999999986: revil
 1.0: selfiekit
6.117647058823529: 42g
 6.0: hanyul
 7.0: ovo
6.300000000000001: stereoscopic
28.20299727520436: four
3.533333333333335: grooming
4.416666666666668: dermacontrol
 4.0: 236ml
17.15431164901664: clearance
3.120481927710845: multitasker
5.199999999999999: qr0579
37.8: a100
5.949999999999999: minimizer
4.958333333333332: pengecil
4.899999999999999: lengthening
3.3125: colossal
5.9540889526542315: perhiasan
22.19590611938699: imitasi
9.29876821035177: 3pcs
 5.0: decomo
 1.0: kosas
 4.0: undertones
 3.0: 1346
5.444444444444443: colour25
10.757710308412335: glaze
4.399999999999999: glisten
20.98066583585544: payet
12.496283185840706: fungsi
21.981901314536103: dekorasi
5.666666666666668: no.33
 3.0: 1583
4.279592929833957: 022
 7.0: 1737
20.28062021845351: length
9.108280254777071: curling
15.5: 1937
22.58192710970993: kotak
4.949999999999999: suntection
13.515403253721011: nomor
6.353916523727843: 308
 3.0: xkh1
 3.0: s5ve
8.692307692307693: ih
4.923076923076923: 144
 3.0: 1h81
 3.0: 18uh
15.336448598130842: bags
4.866666666666667: collaskin
5.65625: nusantara
 8.5: tolong
2.8181818181818166: fine&fairness
19.89967593226528: buat
 1.0: kalian
 5.0: semakin
5.489756722151089: gg
18.2: 1564
 3.0: j1yx
 3.0: w42
7.25: qr0328
21.36180904522613: solo
 4.0: 2grts1
 8.0: penyembunyi
8.031092436974792: pada
 7.0: 020light
6.35532994923858: 8.5
9.576712328767123: moment
3.247967479674795: prod
23.085413324215565: remaja
10.681614349775785: longlasting
10.509278350515466: sunset
21.268835552917608: point
 6.0: fro
12.166666666666668: oyq
15.801028506126595: vs
 9.0: re:p
12.202247191011235: madame
8.061538461538461: gie
8.20909090909091: silhouette
6.533333333333335: tatoo
5.142857142857142: vegetables
4.597014925373134: mud
3.46153846153846: compect
3.133333333333333: presed
 1.0: eyk920
 2.5: afa
 4.0: qrns
 5.0: 01coralred
 5.0: cwct
 4.0: 36mm
4.490196078431371: euh
 5.0: hxo
5.473684210526315: himalaya
4.888888888888889: herbals
9.52: xnr
9.405875051717004: couture
4.714285714285715: oxytera
6.855203619909503: mengandung
3.9344262295081975: ssu
3.3999999999999986: ligth
 5.0: proline
5.333333333333332: felt
 9.0: e8752
4.7403100775193785: terhits
4.566037735849058: semalam
 4.0: iyrata
 5.0: zncmrr
26.780575539568346: wrn
3.9675885714285712: effect
23.137741218763264: tuoyao
3.0088495575221224: atmos
8.13327745180218: 008
30.166666666666668: 1470
15.21976401179941: jeruk
3.75: nipis
 4.0: skc02738
 3.0: bluring
4.283018867924529: sdw
2.0625: fa77
4.509433962264151: qfo
 5.0: 0324
31.479787405379287: wood
28.39269831119379: fan
15.795799299883313: shaped
14.0: 0642
10.785588752196837: fem
5.464944649446494: pony
6.1875: starter
 6.5: conclear
4.600000000000001: ocre
2.555555555555557: frat
5.529411764705884: manizers
21.811764705882354: boys
 4.0: lasona
6.315789473684209: delicious
23.504504504504503: twice
15.935483870967742: est
 1.0: perfectionist
7.173913043478262: infusing
7.534246575342465: swiss
21.645058536680356: dot
2.6000000000000014: license
8.842105263157894: diffusing
9.52392544164696: deluxe
 4.0: zot
3.764705882352942: choutte
9.779625779625778: oh
 5.0: zv23
9.720930232558139: bunny
8.951820128479657: gede
 4.0: banten
3.0309734513274336: sweetie
 3.5: 2111
6.066666666666666: tca
3.25: multicare
3.7818181818181813: bbcream
 5.0: beautylicious
6.925925925925927: megaglow
22.90459587955626: merk
2.75: 55g
 5.0: dr.ohkims
 5.0: oule
4.2772906274612765: items
 3.0: extending
5.197183098591548: shineskin
2.6969696969696955: controlling
20.243408233873417: christmas
 5.0: pencarah
 5.0: aurabeuty
3.1999999999999993: naked5
2.7481296758104747: cheeky
5.323076923076922: hazelnut
13.969411764705882: ombre
4.09090909090909: mehron
36.6: tc1
3.7837837837837824: kyoto
5.362637362637361: 015
9.333333333333332: 1.4gr
4.625: hyaluron
 4.0: micropeel
4.875: 70g
4.4117647058823515: jw
 3.0: 5tumpuk
17.29396984924623: six
5.324999999999999: getaway
 3.5: strobeam
21.35031847133758: jasmine
23.007326007326007: fw
4.153846153846153: cleasing
 4.0: oit1
4.399999999999999: republik
 1.0: corretting
 5.0: flawees
10.338028169014084: happy
23.94634733240591: year
9.062768019738002: 09
 1.0: pk5201
3.695652173913043: spf29
2.812307692307691: silica
2.116923076923076: silisponge
4.666666666666668: pa++14g
6.933236574746008: nut
6.67910447761194: ql
 5.0: terlarissssss
 5.0: yk7p
 1.0: 2.1y
3.466432337434096: 021
 5.0: 5mlx2pcs
 3.0: airt
4.518518518518519: inglot
5.699999999999999: duraline
4.714285714285715: mixing
21.937556561085973: 2.5
 7.0: menyebar
 7.0: radhiscover
3.166666666666668: fracora
4.760000000000002: salt
 1.0: infalibele
 7.0: 220gram
 7.0: moneybackguarant
6.472972972972972: titip
 4.0: wrp
2.9499999999999993: douceur
4.428571428571427: 1.5gr
 1.0: 1.2n
 3.0: e824e
4.600000000000001: palatte
5.25: prealoved
2.8846153846153832: initial
6.282051282051281: countouring
 8.0: glowkit
 5.5: nicole
 4.0: set3001
23.763728281713057: 98
 5.0: matteoriginal
 4.5: krasny
 3.5: sheetmask
4.142857142857142: 2x20g
4.416666666666668: absreinvent
 1.0: mattreal
 1.0: skinnatural
 3.0: no.005
3.1515151515151523: 43gram
2.6153846153846168: smp01
3.458333333333332: terlari
5.399999999999999: danish
5.333333333333332: cucumber
 1.0: ayderma
3.2222222222222214: 90ml
4.222222222222221: menghaluskan
 3.0: jembuk
0.571428571428573: snazaroo
3.0767790262172277: blood
4.76923076923077: pigments
5.285714285714285: ivoire
 3.0: safacos
6.550000000000001: limite
 3.0: perfeting
 5.5: beruntus
24.150943396226417: dj
23.262971106925633: polos
3.5625: tbl
 3.0: cushon
5.25: miladopiz
4.800000000000001: cuishion
7.132075471698112: sculpt
12.393548387096775: scarlet
6.208048497355861: easy
22.140715626663678: serut
4.399999999999999: jambang
4.800000000000001: brewok
5.333333333333332: folti
5.333333333333332: baffi
13.232059020791414: ws
12.012345679012345: melted
3.3999999999999986: ishope
 2.0: cashmete
20.57930663500955: bohemian
 3.0: nongchat
4.399999999999999: yehez
4.772357723577237: clio
3.718067275459486: kill
 1.0: highest
3.555555555555557: refile
 2.5: winging
4.052417006406522: ekonomis
 5.0: resseler
11.951219512195124: kelly
33.53532901833873: c4
4.888888888888889: celebon
3.715736040609137: recovery
7.100000000000001: s01
 3.0: prickley
14.811827956989248: heat
3.3999999999999986: 150gr
40.263500325309046: 1.8
 4.0: criem
8.47571435230504: 07
 2.0: pommettes
 2.0: damour
2.3684210526315788: talc
4.96153846153846: lustre
 7.0: camouplage
4.64516129032258: cacao
36.83508966537253: mb
 4.0: hutmun
8.399999999999999: minew
29.202617801047122: stereo
10.58100558659218: 270
4.899999999999999: vibration
8.905484247374563: otomatis
12.216055232164614: metalik
 4.0: gelly
 5.0: pontina
 4.0: pontip
 3.0: blossoom
 1.0: 58449
 4.0: 248ml
 5.0: 2in1+refil
 2.0: kos0077
 3.0: kos2107
 3.0: badescue
 7.0: kos1915
 3.0: diy787
 3.5: whitenning
26.432835820895523: pernah
4.125: cellumination
40.8096542893726: live
32.211895628394544: juli
6.9661016949152526: banjir
35.70957793134959: geratis
4.850000000000001: beblesh
4.19047619047619: avene
29.115432112139004: brand
5.212707182320443: types
6.222222222222221: gj06
4.945595854922281: babypink
 4.0: 5grm
 4.0: kangzen
 4.5: medigel
4.057142857142857: greentea
31.90909090909091: fishing
14.479460057807023: cocok
31.170731707317074: maupun
 4.0: jer
4.333333333333332: 18141900202
 5.5: 0.66
13.682539682539682: bn
 8.0: 8.8ml
25.666666666666668: 815
10.100000000000001: kaxier
22.406743522690533: cold
20.508460244131136: hip
 5.0: overrorec
5.137931034482758: luminizers
4.171428571428571: nigh
20.713251777365016: picture
8.600000000000001: qr0970
 3.0: liceko
2.191011235955056: keisha
33.03648224208746: merdeka
 5.5: tooner
3.6000000000000014: hasaya
21.053126406188667: fashionable
22.028658591726284: autumn
 4.5: lizzie
5.777777777777779: parra
 7.0: n.girl
19.704678563808116: dress
 5.0: supplement
34.922228807135916: core
 5.0: ahc
22.30438638670727: layer
5.333333333333332: crean
4.439080459770114: bandel
20.624711316397228: br
3.1428571428571423: pedak
6.1875: penyamar
34.93672627235213: dll
6.600000000000001: qr0835
 5.0: usupso
 4.5: qr0887
10.221535982814178: send
6.549450549450551: nudes
 3.0: padat+bsah
5.375: bndngksmtk
3.3999999999999986: omahsariayu
20.025641025641026: next
22.97030752916225: unicorn
 3.0: ulang.best
3.666666666666668: foolproof
4.199999999999999: bekasnya
 3.0: sh235
 3.0: tho
 3.0: dermedics
 3.0: messo
12.865019011406844: aaa
9.974683544303797: perlusin
 5.0: 410513
3.53846153846154: lanore
23.456217370669197: pasti
3.6346153846153832: major
21.705437026841018: suits
28.2: neko
 4.5: skinest
4.181132075471698: safety
23.75069715560513: ka
33.23529411764706: 245
41.75093357474256: p10
33.39280194303378: ip
4.344827586206897: dramatically
4.488331892826274: different
 3.5: ddhj
5.153846153846153: activ
 3.0: ulasan
 1.0: lansat
7.342105263157894: qr0990
 5.0: qr0110
7.199999999999999: qr0506
 2.5: profusion
16.755609756097563: glamour
 5.0: peko
6.5057471264367805: ax
 3.0: qf60
 4.0: vicell
 4.0: meilibahenling
 8.7: meili
4.666666666666668: pengilang
2.222707423580786: 235
19.829294405226655: maxy
22.9: carded
 3.0: yvk1496
3.666666666666668: airpuff
 6.5: n11
4.615384615384617: solone
6.3404962339388575: garden
23.828322177109623: section
10.0: oods.id
4.793322734499206: wish
3.227722772277229: sak
4.206666666666667: deonard
 3.0: 225394
5.719999999999999: highlighters
 7.0: creating
20.221238938053098: tujuh
4.5546391752577335: memperbaiki
 7.0: sheloves
33.379315561741656: hingga
4.100000000000001: 8in1
7.571428571428573: nighter
6.699999999999999: 1223
7.159315589353611: marry
 7.0: 741
15.0: 869
 3.0: 418
1.6666666666666679: kaizm
7.055660377358489: 7pcs
21.088134626354822: sets
23.285714285714285: 1939
 5.0: difference
4.815384615384616: bbq
 5.0: 0308
4.199999999999999: amily
16.106120191716848: bamboo
8.243243243243242: strobelight
10.0: 02dayglow
10.2: qr0171
10.804597701149426: 2.2
 2.0: y96
8.727272727272727: qr0604
 4.5: a81
 4.0: esense
21.478392394122732: en
9.309278350515463: come
19.326074498567337: celebrity
25.050761421319798: plu
3.055555555555557: mattifyng
9.785471537807986: boost
5.100000000000001: ofi
3.5780346820809257: losse
4.892857142857142: sdb
21.411764705882355: 1045
 5.0: beautifyng
 2.0: cheklit
25.730924297887096: blus
5.647619047619049: 854
3.1388367729831153: erlar
3.166666666666668: ztv
34.45933332428876: 62
4.899999999999999: qan
4.666666666666668: 21n
 5.0: tls0315
9.698630136986303: shope
3.0882352941176485: ambre
3.608695652173914: solaire
19.818160321589026: self
4.636363636363637: renergie
16.78921568627451: french
4.666666666666668: retightening
3.25: perface
9.823529411764707: xzn55
10.145054945054945: reseller
25.667305236270753: nike
24.358407079646017: adidas
2.666666666666668: qr0067
4.057692307692307: iritasi
34.15359261700725: discont
11.560747663551403: goban
 0.0: e.l.f.elf
3.333333333333332: qr0711
3.5707964601769895: xzo
4.1037344398340245: mst
 3.0: 0459
6.121212121212121: llp
 7.0: 897
12.0: 1267
5.034682080924856: cho
 4.5: gong
23.445330296127562: jin
5.125: whithening
3.75: bsm
32.753846153846155: dome
 6.0: buffer
 6.5: convenient
23.714285714285715: rotary
 3.0: leviathan
 3.0: ursula
15.461538461538462: fairly
 2.0: n10
 1.5: gardens
 3.0: sp15
3.2222222222222214: glimmer
 5.0: 7.08gr
 4.0: mtxs
4.428571428571427: between
1.90909090909091: paradis
 5.0: 2.5g
2.970023059185241: image
 3.0: drpf02
5.3621730382293755: money
6.633333333333333: concelar
3.764705882352942: airfit
1.75: liberator
 3.0: preferred
11.058823529411764: carrot
2.849056603773583: perona
1.428571428571427: architect
3.6000000000000014: diet
 6.0: deauville
4.300000000000001: meeyouq
4.333333333333332: myq
27.47625633932688: macam
10.91294117647059: kelopak
5.333333333333332: vo3
 1.5: supracolor
3.9589041095890423: spoiler
3.47553017944535: complex
33.91076923076923: degree
24.75: hade
 5.0: 22.pink
 3.0: hypo
5.428571428571427: wakdoyok
28.606483226535996: tdk
4.111111111111111: shiso
 5.0: y242
3.333333333333332: darkening
10.963636363636365: marvel
19.75: clubbing
16.34146341463415: disco
 4.0: 450.000
4.375: spf21
2.931034482758619: nofilter
 5.5: dreaming
13.878048780487806: swan
2.483870967741936: barbapapa
4.802325581395348: 5gram
3.7073170731707314: clarifier
 4.0: aillen
 3.0: vlstore
21.96714993576803: 110
5.470588235294116: indefini
6.608363757052771: kw
10.100000000000001: geneva
 4.0: rb3948
5.488888888888887: chromatic
 5.0: bouce
32.413136349997856: pad
3.352941176470587: colorescience
3.333333333333332: sunforgettable
 7.0: li01
4.285714285714285: 1l
23.63080568720379: owl
 3.0: e0845
 2.0: ayukk
26.04693998811646: mau
3.625: cantikk
 2.0: lohh
 3.0: microfinish
 7.0: ngi
18.8: grande
 3.0: compage
4.127722625574158: mds
 2.0: schwing
33.53355659745479: curved
35.331028873525824: curve
4.423076923076923: spf32
3.6363636363636367: reset
4.217781402936378: pert
4.600000000000001: 160gr
19.0: burst
 2.0: produk.baru
 2.0: sligth
38.47434175174637: cicilan
8.73076923076923: pemerah
4.90274314214464: crm
6.797101449275363: 4gr
8.85370741482966: gak
 4.0: naight
10.0: qianzy
2.1999999999999993: luminus
8.576923076923077: maquiagem
7.4011235955056165: tewrmurah
5.695652173913043: counture
26.410160627568175: hk
26.038560411311053: bogor
 3.0: fresh..masih
 3.0: kebeli
 3.0: lapar
25.94108586830959: lampu
34.878696663950336: usb
36.626904727483016: laptop
37.04308377848764: notebook
35.72485534100514: fleksibel
3.6428571428571423: vegan
 3.0: 918
 3.0: blemiish
19.457517438440206: express
 4.0: 220ml
 7.0: foccallure
3.2857142857142847: armelle
 5.0: danila
 5.0: 20011878
8.396709323583181: son
8.100836202656172: park
 5.0: exp2020
4.161290322580644: spf27
 3.0: hightliter
 5.0: as3517
 3.0: kos68
9.349423323366082: don
3.7600000000000016: fret
21.28039228421121: bridal
4.633333333333333: sekkisei
16.92857142857143: 676
9.399999999999999: cruise
 2.0: 536
 2.0: splendor
5.545454545454547: victory
5.4487427466150855: 10pcs
10.111476952022578: tongkat
 9.0: menyoroti
34.126475699646434: perak
21.22360248447205: cahaya
 7.0: gula
32.914984059511156: diskon50
35.32630990861567: suci
18.741732283464565: rb
 5.0: ga2
 4.0: kos0335
11.0: kos2207
 3.0: kos0801
 3.0: diy801
 3.0: kos1259
7.752155860747365: penawaran
4.600000000000001: elianto
4.833333333333332: revive
 7.5: soda
3.980198019801982: 105g
 4.0: filmstar
3.337349397590362: multiple
21.671369162715546: cut
 4.0: luminescent
4.938271604938272: spf24pa
12.620067766969068: shipping
 7.0: lips715
 8.0: lips821
19.353513513513512: powerful
3.9366515837104075: reducing
24.2372634643377: 1.5
2.2727272727272734: coola
 5.0: rosilliance
6.122920517560075: lightweight
 4.0: vx2028
5.105504587155963: images
21.712435233160623: flowers
 3.0: 7.2gr
6.217948717948719: vloggers
19.38314606741573: houndstooth
21.167756313713884: busui
35.46641419174806: 3.5
 3.0: driying
4.087058823529411: ester
 4.0: lumut
7.25: qr0580
 3.0: powderpowder
 6.0: rosewater
 3.0: transluceng
 7.0: yurun
 7.0: specifi
5.75: vdl
 2.0: smoothin
4.21875: widyarini
4.100000000000001: poni
13.0: 3wrn
 2.5: qr0370
 5.0: wa769
 4.0: wa1061
 3.0: 44g
8.706484641638227: brick
 6.0: cappucino
 5.0: aamo028
4.333333333333332: stokis
17.72203869749882: us
4.702958579881656: melindungi
31.1: polusi
10.5: nxy
6.666666666666668: chrystalist
 4.0: sackura
3.75: saset
 3.0: eele
 3.0: con257
10.0: retha
3.953846153846154: parasol
 4.0: fussion
4.607142857142858: staylast
3.833333333333332: huxley
5.352941176470587: own
7.142857142857142: attitude
17.036159600997507: favorite
13.2557781201849: jempol
 0.0: a:concept
 3.0: shareneogen
 3.0: shareinjar5ml
 9.0: 5.8g
3.5698254364089763: 2in
 2.0: qr0871
 4.5: rozaq
4.1875: fabil
2.555555555555557: bengkoang
 5.0: n0042
5.142857142857142: bndbdk
 3.0: eg09
 3.0: cot894
 5.0: lips823
2.9499999999999993: newyf
 5.0: menghilabfkan
4.790697674418606: chamomile
1.1333333333333329: superpowder
 5.0: sk235
 6.0: bbia
 7.5: jangka
10.587839731017091: macaron
5.843529411764706: madu
10.0: nasi
 1.0: shizawa
22.0: institute
 3.0: yvk1517
3.666666666666668: qr0712
3.416666666666668: karite
13.444615384615384: keep
4.611111111111111: erhsali
 9.0: qr0348
3.8571428571428577: padan
4.300000000000001: amos
12.5: mengendalikan
 7.0: wajah+refill
 6.0: shapewater
4.111111111111111: 24ea
4.75: 1298
 5.0: tm198
11.0: 1434
7.399999999999999: 1421
9.850000000000001: reserve
6.342105263157894: cabana
19.269662921348313: nothing
8.90909090909091: 1299
6.800000000000001: 1467
 5.0: meiyanqiong
5.757575757575758: kiehl
10.269949066213922: cactus
12.23076923076923: tibetan
34.45647058823529: zap
6.125: lightouring
11.399999999999999: 807
28.71034039820167: 222
 4.0: bso
 3.0: 5qdt
 3.0: zwgb
5.533333333333335: phoera
35.53787240257665: carbon
17.75: mamamoo
13.441295546558704: hap
2.2896551724137915: 11pcs
2.8181818181818166: brigth
 3.0: 9.5
5.833333333333332: fixed
 7.5: qiangchuan
9.899999999999999: exlusif
5.359731543624161: animasi
5.817862518815854: duck
16.20630505331479: character
4.126637554585152: sqq
3.648648648648649: vms
3.2941176470588225: lxh
35.13076923076923: 360
1.8000000000000007: sunscreen+alas
6.666666666666668: focallere
 3.0: pupur
2.9411764705882355: smoth
9.100000000000001: suikone
 2.5: memanjangkan
 2.0: babes
 4.0: 12.ivory
 4.5: styling
25.96911196911197: lv
 3.0: c23
4.210526315789473: freeze
 2.5: free2
4.158536585365855: aaw
5.222222222222221: 180gr
 5.0: furuix
29.327511338415515: datang
2.833333333333332: totale
10.0: kardus+bubble
3.842105263157894: verile
 3.0: 0507
1.072413793103447: lrl
5.071428571428573: tambahan
9.46170921198668: sensation
3.9230769230769234: serumwhite
23.395518099980848: sky
 3.0: fundition
17.0: louise
1.6666666666666679: eyshadow
21.045454545454547: produksi
1.6666666666666679: foundasion
3.417744916820702: blind
11.772727272727273: 265
12.528985507246375: lipbalm
34.444417026526835: 3.0
32.93491124260355: kamu
35.91501746216531: suka
23.459349593495936: memakai
 3.0: tabuh
18.664733178654295: boleh
 3.0: tuh
26.166666666666668: tau
